Timestamp,Power (W)
2026-01-24T10:28:10.264367+00:00,720
2026-01-24T10:28:24.401471+00:00,360
2026-01-24T10:28:53.231145+00:00,1080
2026-01-24T10:28:10.264367+00:00,720
2026-01-24T10:28:24.401471+00:00,360
2026-01-24T10:28:53.231145+00:00,1080
2026-01-24T10:28:10.264367+00:00,720
2026-01-24T10:28:24.401471+00:00,360
2026-01-24T10:28:53.231145+00:00,1080
2026-01-24T10:28:10.264367+00:00,720
2026-01-24T10:28:24.401471+00:00,360
2026-01-24T10:28:53.231145+00:00,1080
2026-01-24T10:28:10.264367+00:00,720
2026-01-24T10:28:24.401471+00:00,360
2026-01-24T10:28:53.231145+00:00,1080
